TLGP Case No. (Institutions and all their subsidiaries get the number),FDIC Bank ID No. (Certificate Number),FDIC Bank Holding Company ID No. (RSSD ID),Thrift Holding Company ID No. (THC Number),Entity Name,City,State,"Transaction Account Guarantee Option (Yes or No, Blank entries are holding companies that aren't eligible for this option)",Debt Guarantee Option (Yes or No)
160.1,10502,,,BANKWEST OF KANSAS,GOODLAND,KS,N,N
160.2,,1056732,,"ARK VALLEY BANKSHARES, INC.",LA JUNTA,CO, ,N
160.2,1778,,,The State Bank,LA JUNTA,CO,Y,N
163.1,5379,,,The Carson National Bank of Auburn,AUBURN,NE,Y,Y
163.2,11477,,,Auburn State Bank,AUBURN,NE,Y,Y
165.1,,1061165,,GREEN CITY BANCSHARES INC.,GREEN CITY,MO, ,N
165.1,16103,,,Farmers Bank of Green City,GREEN CITY,MO,Y,N
165.2,,1245741,,"HERKY HAWK FINANCIAL CORP.,",MONTICELLO,IA, ,N
165.2,3614,,,Casey State Bank,CASEY,IL,Y,N
165.2,9047,,,Citizens State Bank,MONTICELLO,IA,Y,N
165.2,9098,,,New Vienna Savings Bank,NEW VIENNA,IA,Y,N
165.2,12095,,,First State Bank of Biggsville,BIGGSVILLE,IL,Y,N
166.1,,1119431,,"GREENVILLE BANCSHARES, INC.",PIEDMONT,MO, ,N
166.1,22394,,,Peoples Community Bank,GREENVILLE,MO,Y,N
166.2,,2766654,,"RIPLEY COUNTY BANCSHARES, INC",PIEDMONT,MO, ,N
166.2,23115,,,Peoples Community State Bank,DONIPHAN,MO,Y,N
168.1,,1203022,,BEDFORD BANCORP,BEDFORD,IA, ,N
168.1,14773,,,State Savings Bank,BEDFORD,IA,Y,N
168.2,,1133101,,D & H INVESTMENTS CORP.,CHEROKEE,IA, ,Y
168.2,25866,,,Valley Bank & Trust,CHEROKEE,IA,Y,Y
171.1,,1098349,,"HILLSBORO BANCSHARES, INC.",HILLSBORO,MO, ,N
171.1,15821,,,Bank of Hillsboro,HILLSBORO,MO,Y,N
171.2,,1099074,,SOUTHERN BANCSHARES CORP.,SAINT LOUIS,MO, ,N
171.2,1080,,,Southern Commercial Bank,SAINT LOUIS,MO,Y,N
177.1,5141,,,The Miners National Bank of Eveleth,EVELETH,MN,Y,N
177.2,5150,,,The First National Bank of Gilbert,GILBERT,MN,Y,N
178.1,4611,,,Farmers National Bank,PHILLIPSBURG,KS,N,N
178.2,15352,,,The Farmers State Bank,ATWOOD,KS,N,N
181.1,5796,,,Earlham Savings Bank,WEST DES MOINES,IA,Y,Y
181.2,16177,,,First State Bank,STUART,IA,Y,Y
183.1,15469,,,The First State Bank of Ransom,RANSOM,KS,Y,N
183.2,17661,,,The First State Bank of Healy,HEALY,KS,N,N
183.3,,1248836,,"SECURITY BANCSHARES, INC.",SCOTT CITY,KS, ,Y
183.3,1867,,,"The Farmers State Bank of Oakley, Kansas",OAKLEY,KS,Y,Y
183.3,18374,,,Security State Bank,SCOTT CITY,KS,Y,Y
183.3,34719,,,Farmers & Merchants Bank of Colby,COLBY,KS,Y,Y
184.1,,1142783,,"WFC, INC.",WAUKON,IA, ,N
184.1,1857,,,Waukon State Bank,WAUKON,IA,N,N
184.1,34135,,,Viking State Bank & Trust,DECORAH,IA,N,N
184.2,,2253734,,"AJJ BANCORP, INC.",ELKADER,IA, ,Y
184.2,1550,,,Central State Bank,ELKADER,IA,Y,Y
184.2,58284,,,Corridor State Bank,CORALVILLE,IA,Y,Y
185.1,,1125571,,"DARWIN BANCSHARES, INC.",DARWIN,MN, ,N
185.1,1413,,,Farmers State Bank of Darwin,DARWIN,MN,N,N
185.1,19318,,,Farmers and Merchants State Bank,PAYNESVILLE,MN,N,N
185.2,,1126297,,"WINTHROP BANCSHARES, INC.",WINTHROP,MN, ,N
185.2,15417,,,Winthrop State Bank,WINTHROP,MN,N,N
186.1,9349,,,First State Bank of Fountain,FOUNTAIN,MN,Y,N
186.2,,1126484,,"JOHNSON BANCSHARES, INC.",CHATFIELD,MN, ,N
186.2,1098,,,Root River State Bank,CHATFIELD,MN,Y,N
188.1,,1126617,,"SARGENT BANKSHARES, INC.",FORMAN,ND, ,N
188.1,8942,,,Sargent County Bank,FORMAN,ND,N,N
188.2,,1127155,,"NAPOLEON BANCORPORATION, INC.",NAPOLEON,ND, ,N
188.2,15440,,,Stock Growers Bank,NAPOLEON,ND,N,N
191.1,,1990087,,"BIGFORK BANCSHARES, INC.",BIGFORK,MN, ,Y
191.1,10991,,,First State Bank of Bigfork,BIGFORK,MN,Y,Y
191.2,,2213215,,"KELLIHER BANCSHARES, INC.",KELLIHER,MN, ,Y
191.2,16633,,,Citizens State Bank of Kelliher,KELLIHER,MN,Y,Y
192.1,,1199808,,CYPRESS CORPORATION,OMAHA,NE, ,Y
192.1,11764,,,Sibley State Bank,SIBLEY,IA,Y,Y
192.2,,1021570,,"VIKING CORPORATION, THE",OMAHA,NE, ,Y
192.2,4471,,,Landmands National Bank,AUDUBON,IA,Y,Y
192.2,8511,,,Crawford County Trust and Savings Bank,DENISON,IA,Y,Y
192.3,,1058071,,LOOMIS COMPANY,OMAHA,NE, ,Y
192.3,16333,,,First State Bank,LOOMIS,NE,Y,Y
192.4,,1020902,,"FIRST NATIONAL OF NEBRASKA, INC.",OMAHA,NE, ,Y
192.4,,1066209,,LAURITZEN CORPORATION,OMAHA,NE, ,Y
192.4,,2181341,,"FIRST NATIONAL OF COLORADO, INC.",FORT COLLINS,CO, ,Y
192.4,,2932682,,"INFICORP HOLDINGS, INC.",ATLANTA,GA, ,Y
192.4,,3069969,,"FIRST NATIONAL OF ILLINOIS, INC.",OMAHA,NE, ,Y
192.4,1553,,,The Shelby County State Bank,HARLAN,IA,Y,Y
192.4,5393,,,First National Bank & Trust Company of Columbus,COLUMBUS,NE,Y,Y
192.4,5402,,,The Fremont National Bank and Trust Company,FREMONT,NE,Y,Y
192.4,5449,,,First National Bank,NORTH PLATTE,NE,Y,Y
192.4,5452,,,First National Bank of Omaha,OMAHA,NE,Y,Y
192.4,12241,,,Washington County Bank,BLAIR,NE,Y,Y
192.4,13908,,,"Castle Bank, National Association",SYCAMORE,IL,Y,Y
192.4,14372,,,First National Bank,FORT COLLINS,CO,Y,Y
192.4,15405,,,Houghton State Bank,RED OAK,IA,Y,Y
192.4,16079,,,York State Bank and Trust Company,YORK,NE,Y,Y
192.4,16112,,,Platte Valley State Bank & Trust Company,KEARNEY,NE,Y,Y
192.4,18613,,,First National Bank South Dakota,YANKTON,SD,Y,Y
192.4,33789,,,First National Bank of Kansas,SHAWNEE MISSION,KS,Y,Y
192.4,34540,,,"InfiBank, National Association",ATLANTA,GA,Y,Y
192.5,,2911931,,"LAURITZEN INVESTMENTS, INCORPORATED",OMAHA,NE, ,Y
192.5,13662,,,"Farmers and Merchants State Bank, Bloomfield, Nebraska",BLOOMFIELD,NE,Y,Y
195.1,,1136540,,NORTH SHORE FINANCIAL CORPORATION,DULUTH,MN, ,N
195.1,8850,,,North Shore Bank of Commerce,DULUTH,MN,Y,N
195.2,,2359887,,PARK BANK CORPORATION OF DULUTH,DULUTH,MN, ,Y
195.2,8851,,,Park State Bank,DULUTH,MN,Y,Y
196.1,10641,,,Tri Valley Bank,TALMAGE,NE,Y,Y
196.2,12417,,,Tri-Valley Bank,RANDOLPH,IA,Y,Y
201.1,,1123317,,"FIRST FINANCIAL HOLDINGS, INC.",GOLDEN VALLEY,MN, ,Y
201.1,5338,,,First National Bank and Trust,BARRON,WI,Y,Y
201.2,,1250295,,"CENTRAL BANCSHARES, INC.",GOLDEN VALLEY,MN, ,Y
201.2,27234,,,Central Bank,STILLWATER,MN,Y,Y
203.1,,1065444,,"AMERICAN BANCSHARES, INC.",BAXTER SPRINGS,KS, ,N
203.1,4624,,,American Bank of Baxter Springs,BAXTER SPRINGS,KS,Y,N
203.2,,2006453,,"PORTER BANCSHARES, INC.",PORTER,OK, ,Y
203.2,4180,,,First State Bank of Porter,PORTER,OK,Y,Y
208.1,,1051081,,"FIRST NEBRASKA BANCS, INC.",SIDNEY,NE, ,N
208.1,3031,,,Points West Community Bank,JULESBURG,CO,N,N
208.1,25127,,,First National Bank of Sidney,SIDNEY,NE,N,N
208.2,,1051193,,FIRST NATIONAL FINANCIAL CORPORATION,ESTES PARK,CO, ,N
208.2,19351,,,First National Bank of Estes Park,ESTES PARK,CO,N,N
208.3,,1051399,,O & F CATTLE COMPANY,OSHKOSH,NE, ,N
208.3,9819,,,Nebraska State Bank,OSHKOSH,NE,N,N
208.4,,1052314,,WOODSTOCK LAND AND CATTLE COMPANY,FULLERTON,NE, ,N
208.4,5406,,,The Fullerton National Bank,FULLERTON,NE,N,N
208.5,,1056200,,LISCO STATE COMPANY,LISCO,NE, ,N
208.5,11479,,,Lisco State Bank,LISCO,NE,N,N
211.1,,1057113,,"WEST POINT BANCORP, INC.",WEST POINT,NE, ,Y
211.1,14922,,,"F & M Bank, National Association",WEST POINT,NE,Y,Y
211.1,18944,,,Dakota County State Bank,SOUTH SIOUX CITY,NE,Y,Y
211.1,33235,,,Farmers & Merchants State Bank of Wayne,WAYNE,NE,Y,Y
211.1,57312,,,Town & Country Bank,LAS VEGAS,NV,Y,Y
211.2,,1023172,,"NORTH MISSOURI BANCORP, INC.",EDINA,MO, ,Y
211.2,,1095816,,"T & C BANCORP, INC.",QUINCY,IL, ,Y
211.2,1965,,,Town & Country Bank of Missouri,LA GRANGE,MO,Y,Y
211.2,10460,,,Town and Country Bank of Quincy,QUINCY,IL,Y,Y
211.2,12457,,,The Citizens Bank of Edina,EDINA,MO,Y,Y
211.2,16327,,,Town & Country Bank Midwest,LA BELLE,MO,Y,Y
211.3,,1492527,,"GREAT RIVER BANCSHARES, INC.",QUINCY,IL, ,Y
211.3,9274,,,The Hill-Dodge Banking Company,WARSAW,IL,Y,Y
213,58217,,,First State Bank,HOLBROOK,NE,Y,Y
213.1,,1052332,,"STAMFORD BANCO, INC.",STAMFORD,NE, ,Y
213.1,34139,,,Community Bank,ALMA,NE,Y,Y
213.2,,1054765,,"NEBRASKA BANKSHARES, INC.",FARNAM,NE, ,Y
213.2,,1057252,,"FIRST GOTHENBURG BANCSHARES, INC.",GOTHENBURG,NE, ,Y
213.2,12244,,,Farnam Bank,FARNAM,NE,Y,Y
213.2,13622,,,First State Bank,GOTHENBURG,NE,Y,Y
214.1,21714,,,Premier Bank,MAPLEWOOD,MN,Y,Y
214.2,33202,,,Premier Bank Rochester,ROCHESTER,MN,Y,Y
214.3,33204,,,Premier Bank Minnesota,BLOOMINGTON,MN,Y,Y
219.1,,1398731,,"BANCORP II, INC.",STILWELL,KS, ,N
219.1,12694,,,Citizens Community Bank,PILOT GROVE,MO,Y,N
219.2,,3152759,,"BANCORP V, INC.",STILWELL,KS, ,N
219.2,8265,,,Bank of Leeton,LEETON,MO,Y,N
219.3,,3216325,,"BANCORP III, INC.",STILWELL,KS, ,N
219.3,25231,,,First Bank of Kansas City,KANSAS CITY,MO,Y,N
220.1,,1201439,,SLOAN STATE CORPORATION,SLOAN,IA, ,Y
220.1,8507,,,Sloan State Bank,SLOAN,IA,Y,Y
220.2,,1201596,,BANKERS EQUITY CORPORATION,PALO,IA, ,Y
220.2,13990,,,Palo Savings Bank,PALO,IA,Y,Y
220.3,,1125124,,PEOPLES EQUITY CORPORATION,WELLS,MN, ,Y
220.3,8840,,,Peoples State Bank of Wells,WELLS,MN,Y,Y
221.1,,1122048,,AUGUSTA FINANCIAL CORPORATION,AUGUSTA,WI, ,Y
221.1,8714,,,Unity Bank,AUGUSTA,WI,Y,Y
221.2,,1122990,,KIMBERLY LEASING CORPORATION,AUGUSTA,WI, ,Y
221.2,8545,,,Unity Bank,RUSH CITY,MN,Y,Y
221.3,,1123700,,CAPRICE CORPORATION,AUGUSTA,WI, ,Y
221.3,8202,,,Unity Bank North,RED LAKE FALLS,MN,Y,Y
223.1,,1364053,,"FIRST INDEPENDENT BANCSHARES, INC.",AURORA,MO, ,N
223.1,18380,,,First Independent Bank,AURORA,MO,Y,N
223.2,,2797621,,"MACKS CREEK BANCSHARES, INC.",MACKS CREEK,MO, ,N
223.2,9797,,,The Bank of Macks Creek,MACKS CREEK,MO,Y,N
224.1,,1131406,,"LEACKCO BANK HOLDING COMPANY, INC.",WOLSEY,SD, ,Y
224.1,1117,,,American Bank & Trust,WESSINGTON SPRINGS,SD,Y,Y
224.2,,1247820,,KINGSBURY BANK HOLDING COMPANY,DE SMET,SD, ,Y
224.2,9002,,,Peoples State Bank,DE SMET,SD,Y,Y
225.1,17399,,,"The Caldwell State Bank in Caldwell, Kansas",CALDWELL,KS,Y,N
225.2,,1067514,,FIRST FINANCIAL CORPORATION,WELLINGTON,KS, ,N
225.2,4795,,,The First National Bank in Wellington,WELLINGTON,KS,Y,N
228.1,4722,,,The First National Bank of Louisburg,LOUISBURG,KS,Y,N
228.2,11777,,,Commercial Bank,PARSONS,KS,Y,N
228.3,,1056769,,"OTTAWA BANCSHARES, INC.",SALINA,KS, ,N
228.3,10505,,,The Kansas State Bank,OTTAWA,KS,Y,N
228.3,14952,,,The Lyon County State Bank,EMPORIA,KS,Y,N
228.3,18431,,,First Bank Kansas,SALINA,KS,Y,N
228.3,18474,,,First Kansas Bank,HOISINGTON,KS,Y,N
228.4,,2857552,,"MARION BANCSHARES, INC.",MARION,KS, ,N
228.4,4728,,,The Marion National Bank,MARION,KS,Y,N
229.1,,1210002,,RAKE BANCORPORATION,RAKE,IA, ,Y
229.1,8513,,,State Savings Bank,RAKE,IA,Y,Y
229.2,26519,,,Frost State Bank,FROST,MN,Y,Y
232.1,,1053496,,CCB FINANCIAL CORPORATION,KANSAS CITY,MO, ,Y
232.1,,1065985,,"NKC BANCSHARES, INC.",NORTH KANSAS CITY,MO, ,Y
232.1,4713,,,"MidAmerican Bank and Trust Company, National Association",LEAVENWORTH,KS,Y,Y
232.1,8888,,,Norbank,NORTH KANSAS CITY,MO,Y,Y
232.1,17398,,,"Country Club Bank, National Association",KANSAS CITY,MO,Y,Y
232.2,,1057618,,"PLATTE COUNTY BANCSHARES, INC.",PLATTE CITY,MO, ,Y
232.2,14869,,,Platte Valley Bank of Missouri,PLATTE CITY,MO,Y,Y
232.3,,2397629,,"MIDAMERICAN BANCSHARES, INC.",KANSAS CITY,MO, ,Y
232.3,8583,,,Allen Bank and Trust Company,HARRISONVILLE,MO,Y,Y
236.1,8323,,,State Bank of Colon,COLON,NE,Y,N
236.2,16188,,,Commercial State Bank,CEDAR BLUFFS,NE,Y,N
238.1,,2300768,,"MID-MISSOURI HOLDING COMPANY, INC",SULLIVAN,MO, ,N
238.1,8892,,,Bank of Sullivan,SULLIVAN,MO,N,N
238.2,,2591539,,"SAINT CLAIR BANCSHARES, INC.",SAINT CLAIR,MO, ,N
238.2,14056,,,Farmers and Merchants Bank of St. Clair,SAINT CLAIR,MO,Y,N
242.1,,1130436,,FAIRMONT FARMERS STATE COMPANY,FAIRMONT,NE, ,Y
242.1,18739,,,Farmers State Bank,FAIRMONT,NE,Y,Y
242.2,,1834396,,GENEVA STATE COMPANY,GENEVA,NE, ,Y
242.2,18740,,,Geneva State Bank,GENEVA,NE,Y,Y
243.1,,1123803,,GOOSE RIVER HOLDING COMPANY,MAYVILLE,ND, ,N
243.1,10236,,,The Goose River Bank,MAYVILLE,ND,Y,N
243.2,,1128040,,FIRST FINANCIAL CORPORATION,ARTHUR,ND, ,Y
243.2,8387,,,First State Bank of North Dakota,ARTHUR,ND,Y,Y
247.1,,1123791,,"FARMERS & MERCHANTS AGENCY, INC.",PIERZ,MN, ,Y
247.1,10165,,,Farmers and Merchants State Bank of Pierz,PIERZ,MN,Y,Y
247.2,,1124613,,"PARK RAPIDS BANCSHARES, INC.",PARK RAPIDS,MN, ,Y
247.2,5223,,,The Citizens National Bank of Park Rapids,PARK RAPIDS,MN,Y,Y
247.3,,1128693,,"EDEN VALLEY BANCSHARES, INC.",EDEN VALLEY,MN, ,Y
247.3,1916,,,State Bank in Eden Valley,EDEN VALLEY,MN,Y,Y
247.4,,1139327,,"READLYN BANCSHARES, INC.",SAINT PAUL,MN, ,Y
247.4,9300,,,Readlyn Savings Bank,READLYN,IA,Y,Y
247.5,,1141508,,"TRIPOLI BANCSHARES, INC.",SAINT PAUL,MN, ,Y
247.5,9104,,,American Savings Bank,TRIPOLI,IA,Y,Y
247.6,,1250231,,"BRITT BANCSHARES, INC.",SAINT PAUL,MN, ,Y
247.6,8522,,,First State Bank,BRITT,IA,Y,Y
247.7,,1250419,,"ASHTON BANCSHARES, INC.",SAINT PAUL,MN, ,Y
247.7,11343,,,Ashton State Bank,ASHTON,IA,Y,Y
247.8,,3285219,,FNSB BANCORPORATION CORP.,NASHUA,IA, ,Y
247.8,,3285237,,"NASHUA BANCSHARES, INC.",SAINT PAUL,MN, ,Y
247.8,57910,,,First State Bank,NASHUA,IA,Y,Y
248.1,,1094480,,"BYRON B. WEBB, INC.",LA JOLLA,CA, ,N
248.1,14492,,,Palmyra State Bank,PALMYRA,MO,Y,N
248.2,,2817855,,"QUINCY BANCSHARES, INC",QUINCY,IL, ,N
248.2,35209,,,Bank of Quincy,QUINCY,IL,Y,N
251.1,,1125414,,"FERGUS FALLS BANCSHARES, INC.",FERGUS FALLS,MN, ,N
251.1,17733,,,Security State Bank of Fergus Falls,FERGUS FALLS,MN,Y,N
251.2,,2466235,,"INDEPENDENT BANCSHARES, INC.",CLARKFIELD,MN, ,Y
251.2,10184,,,Farmers & Merchants State Bank of Clarkfield,CLARKFIELD,MN,Y,Y
251.2,10998,,,Granite Falls Bank,GRANITE FALLS,MN,Y,Y
266.1,3330,,,The First National Bank of McGregor,MCGREGOR,TX,Y,Y
266.2,3371,,,Oglesby State Bank,OGLESBY,TX,Y,Y
266.3,5580,,,The State National Bank in West,WEST,TX,N,N
266.4,,1106132,,CENTRABANC CORPORATION,WACO,TX, ,Y
266.4,22396,,,Central National Bank,WACO,TX,Y,Y
266.5,,1131956,,"ENNIS BANCSHARES, INC.",WACO,TX, ,N
266.5,13000,,,Ennis State Bank,ENNIS,TX,Y,N
268.1,,1065417,,LAKE BANCSHARES CORPORATION,LANGLEY,OK, ,Y
268.1,22353,,,"Bank of the Lakes, National Association",OWASSO,OK,Y,Y
268.2,,1895397,,"BANCSHARES OF JACKSON HOLE, INCORPORATED",JACKSON,WY, ,Y
268.2,23826,,,Bank of Jackson Hole,JACKSON,WY,Y,Y
268.3,,1951891,,TULSA VALLEY BANCSHARES CORPORATION,TULSA,OK, ,N
268.3,23737,,,Valley National Bank,TULSA,OK,Y,N
271.1,20394,,,Clear Creek National Bank,GEORGETOWN,CO,Y,N
271.2,,1129627,,EVERGREEN BANCORPORATION,EVERGREEN,CO, ,N
271.2,23404,,,Evergreen National Bank,EVERGREEN,CO,Y,N
283.1,,1057636,,FIRST THOMAS BAN CORP.,THOMAS,OK, ,Y
283.1,4209,,,The First National Bank of Thomas,THOMAS,OK,Y,Y
283.2,,1052350,,FIRST FARM CREDIT CORPORATION,WEATHERFORD,OK, ,Y
283.2,,2908230,,JACK AND KATHERINE DICKEY FAMILY LIMITED PARTNERSHIP,WEATHERFORD,OK, ,Y
283.2,4076,,,Southwest National Bank,WEATHERFORD,OK,Y,Y
291,,2475611,,EAST TEXAS DELAWARE FINANCIAL CORPORATION,DOVER,DE, ,N
291,,2516868,,HICKORY HILL DELAWARE FINANCIAL CORPORATION,DOVER,DE, ,N
291.1,,1103917,,"LONE STAR BANCSHARES, INC.",LONE STAR,TX, ,N
291.1,,1983427,,LONE STAR DELAWARE FINANCIAL CORPORATION,DOVER,DE, ,N
291.1,19090,,,The Lone Star State Bank,LONE STAR,TX,Y,N
291.2,,2475590,,"EAST TEXAS BANCORP, INC.",LONGVIEW,TX, ,N
291.2,25752,,,Community Bank,LONGVIEW,TX,Y,N
291.3,,2516859,,"HICKORY HILL BANCSHARES, INC.",AVINGER,TX, ,N
291.3,12314,,,The First State Bank,AVINGER,TX,Y,N
295.1,,1062050,,FIRST BROKEN ARROW CORPORATION,BROKEN ARROW,OK, ,Y
295.1,4050,,,The First National Bank and Trust Company of Broken Arrow,BROKEN ARROW,OK,Y,Y
295.2,,1063329,,FIRST COWETA CORPORATION,COWETA,OK, ,Y
295.2,4071,,,The First National Bank of Coweta,COWETA,OK,Y,Y
298.1,,1062715,,VALLEY BANCSHARES INCORPORATED,PAULS VALLEY,OK, ,N
298.1,4173,,,The Pauls Valley National Bank,PAULS VALLEY,OK,Y,N
298.2,,2096164,,"LEADER FIRST BANCORP, INC.",MARLOW,OK, ,N
298.2,26260,,,The First National Bank in Marlow,MARLOW,OK,N,N
300.1,,1057168,,"HYDRO BANCSHARES, INC.",HYDRO,OK, ,N
300.1,10674,,,Bank of Hydro,HYDRO,OK,N,N
300.2,,1241211,,FALCON BANCORPORATION,MEMPHIS,TX, ,N
300.2,3335,,,First Bank and Trust of Memphis,MEMPHIS,TX,N,N
300.3,,1063833,,ROCKY FINANCIAL CORPORATION,ROCKY,OK, ,N
300.3,9875,,,Bank of Cordell,CORDELL,OK,N,N
306.1,,2007218,,"WSB BANCSHARES, INC.",WELLINGTON,TX, ,N
306.1,1219,,,Wellington State Bank,WELLINGTON,TX,N,N
306.2,,2409924,,"XIT BANCSHARES, INC.",LITTLEFIELD,TX, ,Y
306.2,16631,,,Security State Bank,LITTLEFIELD,TX,Y,Y
308.1,4195,,,Southwest State Bank,SENTINEL,OK,Y,Y
308.2,4198,,,Bank of the Wichitas,SNYDER,OK,Y,Y
308.3,20093,,,All America Bank,MUSTANG,OK,Y,Y
309.1,,1105630,,PEDERNALES INVESTMENT CORPORATION,JOHNSON CITY,TX, ,N
309.1,16176,,,Johnson City Bank,JOHNSON CITY,TX,Y,N
309.2,,1139671,,"BANDERA BANCSHARES, INC.",BANDERA,TX, ,N
309.2,26653,,,Bandera Bank,BANDERA,TX,Y,N
311.1,,1062135,,"SPIRIT BANKCORP, INC.",BRISTOW,OK, ,Y
311.1,4048,,,SpiritBank,TULSA,OK,Y,Y
311.2,,1067541,,"CITIZENS BANKSHARES, INC.",OKEMAH,OK, ,Y
311.2,419,,,The Citizens State Bank,OKEMAH,OK,Y,Y
312.1,,1137631,,"WESTERN BANCSHARES OF ALAMOGORDO, INC.",CARLSBAD,NM, ,N
312.1,22525,,,Western Bank,ALAMOGORDO,NM,Y,N
312.2,,1135301,,"WESTERN BANCSHARES OF CLOVIS, INC.",CARLSBAD,NM, ,N
312.2,22059,,,Western Bank of Clovis,CLOVIS,NM,Y,N
318,417,,,The First State Bank,KETCHUM,OK,N,N
318.1,,1050851,,FIRST WAGONER CORPORATION,WAGONER,OK, ,N
318.1,4219,,,First Bank & Trust Company,WAGONER,OK,Y,N
318.2,,1057654,,FIRST CHANDLER CORP.,CHANDLER,OK, ,N
318.2,4056,,,First Bank of Chandler,CHANDLER,OK,N,N
318.3,,1109544,,"FIRST BURKBURNETT BANCSHARES, INC.",BURKBURNETT,TX, ,N
318.3,,2014355,,FIRST BURKBURNETT NEVADA FINANCIAL CORPORATION,RENO,NV, ,N
318.3,3121,,,First  Bank,BURKBURNETT,TX,Y,N
320.1,,1053526,,"H. PAT HENSON COMPANY, THE",MAYSVILLE,OK, ,Y
320.1,4144,,,Farmers and Merchants Bank,MAYSVILLE,OK,Y,Y
320.1,17138,,,Peoples State Bank,BLAIR,OK,Y,Y
320.2,,1357112,,"THROCKMORTON BANCSHARES, INC.",THROCKMORTON,TX, ,N
320.2,,1842636,,"THROCKMORTON BANCORP OF DELAWARE, INC.",WILMINGTON,DE, ,N
320.2,5556,,,The First National Bank of Throckmorton,THROCKMORTON,TX,Y,N
320.3,,1833906,,"OLNEY BANCORP OF DELAWARE, INC.",WILMINGTON,DE, ,N
320.3,,2233950,,"OLNEY BANCSHARES OF TEXAS, INC.",OLNEY,TX, ,N
320.3,3143,,,First Coleman National Bank of Coleman,COLEMAN,TX,Y,N
320.3,4191,,,Interbank,ELK CITY,OK,Y,N
320.3,5526,,,The Farmers National Bank of Seymour,SEYMOUR,TX,Y,N
320.3,11908,,,"Friona State Bank, N.A.",FRIONA,TX,Y,N
320.3,18830,,,Citizens National Bank of Breckenridge,BRECKENRIDGE,TX,Y,N
320.3,26920,,,First National Bank of Olney,OLNEY,TX,Y,N
320.3,27210,,,UNION BANK,OKLAHOMA CITY,OK,Y,N
320.3,33865,,,Graham National Bank,GRAHAM,TX,Y,N
320.3,34634,,,"First State Bank of Canadian, National Association",CANADIAN,TX,Y,N
320.3,34635,,,First National Bank of Borger,BORGER,TX,Y,N
322.1,13563,,,Bloomburg State Bank,BLOOMBURG,TX,Y,N
322.2,,1021767,,"WHITE OAK BANCSHARES, INC.",WHITE OAK,TX, ,N
322.2,,1133419,,"FIRST WHITE OAK BANCSHARES, INC.",WHITE OAK,TX, ,N
322.2,20707,,,White Oak State Bank,WHITE OAK,TX,Y,N
324.1,,1237447,,ARROWHEAD COMPANY,ROUND MOUNTAIN,TX, ,N
324.1,1198,,,Arrowhead Bank,LLANO,TX,Y,N
324.2,26688,,,Cattleman's National Bank,ROUND MOUNTAIN,TX,Y,Y
326.1,,1992661,,"HOPETON BANCSHARES, INC.",HOPETON,OK, ,N
326.1,12585,,,The Hopeton State Bank,HOPETON,OK,N,N
326.2,,2107789,,"MYERS BANCSHARES, INC.",ALVA,OK, ,N
326.2,4033,,,The Central National Bank of Alva,ALVA,OK,Y,N
332.1,,2480491,,"COMMERCE BANCSHARES, INC.",CATOOSA,OK, ,N
332.1,13274,,,Bank of  Commerce,CHELSEA,OK,Y,N
332.2,,2649065,,"CSB BANCSHARES, INC.",YUKON,OK, ,N
332.2,23250,,,Canadian State Bank,YUKON,OK,Y,N
337.1,,1103672,,"WESTERN BANCSHARES, INC.",COAHOMA,TX, ,Y
337.1,,3138892,,"WESTERN FINANCIAL OF TEXAS, INC.",WILMINGTON,DE, ,Y
337.1,1720,,,Western Bank,LUBBOCK,TX,Y,Y
337.1,18411,,,First Bank of West Texas,COAHOMA,TX,Y,Y
337.2,,1105395,,"NORTHERN BANCSHARES, INC.",CHILLICOTHE,TX, ,N
337.2,,3157464,,"CHILLICOTHE FINANCIAL, INC.",WILMINGTON,DE, ,N
337.2,3136,,,The First National Bank of Chillicothe,CHILLICOTHE,TX,Y,N
338.1,4041,,,The First Security Bank,BEAVER,OK,Y,Y
338.2,,1103757,,"FIRST MUNDAY BANCSHARES, INC.",MUNDAY,TX, ,Y
338.2,,1105751,,"FIRST BAIRD BANCSHARES, INC.",BEDFORD,TX, ,Y
338.2,,1840258,,"FIRST MUNDAY BANCSHARES OF DELAWARE, INC.",DOVER,DE, ,Y
338.2,,2126922,,"FIRST BAIRD BANCSHARES OF DELAWARE, INC.",DOVER,DE, ,Y
338.2,3086,,,The First National Bank of Baird,BAIRD,TX,Y,Y
338.2,3356,,,First National Bank in Munday,MUNDAY,TX,Y,Y
338.2,5575,,,First National Bank and Trust Company of Weatherford,WEATHERFORD,TX,Y,Y
338.2,24355,,,First National Bank of the Mid-Cities,BEDFORD,TX,Y,Y
339.1,,1133222,,"GANADO BANCSHARES, INC.",GANADO,TX, ,Y
339.1,16934,,,Citizens State Bank,GANADO,TX,Y,Y
339.2,,2344726,,"ABNA HOLDINGS, INC.",DALLAS,TX, ,Y
339.2,21567,,,"American Bank, National Association",DALLAS,TX,Y,Y
340.1,,1102161,,"CITIZENS BANCSHARES, INC.",CROSBYTON,TX, ,N
340.1,3158,,,Citizens National Bank of Crosbyton,CROSBYTON,TX,N,N
340.2,,3141034,,QUITAQUE NATIONAL CORPORATION,QUITAQUE,TX, ,Y
340.2,,3141043,,QUITAQUE NATIONAL CORPORATION OF DELAWARE,WILMINGTON,DE, ,Y
