TLGP Case No. (Institutions and all their subsidiaries get the number),FDIC Bank ID No. (Certificate Number),FDIC Bank Holding Company ID No. (RSSD ID),Thrift Holding Company ID No. (THC Number),Entity Name,City,State,"Transaction Account Guarantee Option (Yes or No, Blank entries are holding companies that aren't eligible for this option)",Debt Guarantee Option (Yes or No)
138.1,13696,,,Nebraska State Bank,BRISTOW,NE,N,N
138.2,,1840801,,"JDJ BANCO, INC.",LYNCH,NE, ,N
138.2,16516,,,Nebraska State Bank,LYNCH,NE,N,N
140.1,,1020591,,"PINNACLE BANCORP, INC.",SIOUX CITY,IA, ,Y
140.1,18958,,,Pinnacle Bank Sioux City,SIOUX CITY,IA,Y,Y
140.2,,1053272,,"PINNACLE BANCORP, INC.",CENTRAL CITY,NE, ,Y
140.2,,1108819,,"KEENE BANCORP, INC.",KEENE,TX, ,Y
140.2,,1143801,,"FIRST AZLE BANCSHARES, INC.",AZLE,TX, ,Y
140.2,,2753074,,"NICHOLS BANCSHARES, INC.",DOVER,DE, ,Y
140.2,,2765693,,"WOOD FINANCIAL GROUP, INC.",DOVER,DE, ,Y
140.2,2232,,,Pinnacle Bank - Wyoming,TORRINGTON,WY,Y,Y
140.2,10634,,,Pinnacle Bank,OMAHA,NE,Y,Y
140.2,16980,,,Bank of Colorado,FORT COLLINS,CO,Y,Y
140.2,20231,,,Pinnacle Bank,KEENE,TX,Y,Y
140.2,23588,,,First Bank,AZLE,TX,Y,Y
141.1,,1061884,,"FIRST PICHER BANCSHARES, INC.",PICHER,OK, ,N
141.1,6007,,,First State Bank,PICHER,OK,N,N
141.2,,1062630,,"S.T.D. INVESTMENTS, INC.",MINDENMINES,MO, ,N
141.2,19954,,,Bank of Minden,MINDENMINES,MO,Y,N
141.3,,1063105,,"UNITED CAPITAL BANCSHARES, INC.",WYANDOTTE,OK, ,N
141.3,2317,,,The Bank of Wyandotte,WYANDOTTE,OK,N,N
142.1,18067,,,The Freeport State Bank,HARPER,KS,Y,Y
142.2,,1059694,,FARMERS AND MERCHANTS FINANCIAL CORPORATION,ARGONIA,KS, ,Y
142.2,17719,,,The Farmers and Merchants State Bank of Argonia,ARGONIA,KS,Y,Y
143.1,,1054952,,EAGLE CAPITAL CO.,EAGLE,NE, ,Y
143.1,21809,,,Eagle State Bank,EAGLE,NE,Y,Y
143.2,,1061576,,CASS COUNTY STATE COMPANY,PLATTSMOUTH,NE, ,Y
143.2,19645,,,"Cass County Bank, Inc.",PLATTSMOUTH,NE,Y,Y
144.1,14327,,,Horizon Bank,WAVERLY,NE,Y,N
144.2,,1053580,,"FARMERS & MERCHANTS INVESTMENT, INC.",LINCOLN,NE, ,Y
144.2,13421,,,Union Bank and Trust Company,LINCOLN,NE,Y,Y
144.3,,1061857,,CAMPBELL STATE COMPANY,CAMPBELL,NE, ,N
144.3,16707,,,South Central State Bank,CAMPBELL,NE,Y,N
147.1,,1023145,,"CITY BANCSHARES, INC.",FORT SCOTT,KS, ,N
147.1,17607,,,The City State Bank,FORT SCOTT,KS,Y,N
147.2,,1067617,,"GARDNER BANCSHARES, INC.",GARDNER,KS, ,N
147.2,25744,,,Gardner National Bank,GARDNER,KS,Y,N
147.3,,1247398,,"COMMUNITY BANCORP, INC.",CHANUTE,KS, ,N
147.3,27046,,,Community National Bank,CHANUTE,KS,Y,N
147.4,,2254704,,COMMUNITY FINANCIAL CORPORATION,TOPEKA,KS, ,N
147.4,34020,,,Community National Bank,TOPEKA,KS,Y,N
148.1,,1140930,,"CARDINAL BANCORP, INC.",SAINT LOUIS,MO, ,Y
148.1,4549,,,Citizens National Bank of Greater St. Louis,MAPLEWOOD,MO,Y,Y
148.2,,1248368,,"CARDINAL BANCORP II, INC.",WASHINGTON,MO, ,Y
148.2,14334,,,United Bank of Union,UNION,MO,Y,Y
148.3,,2294812,,"DIAMOND BANCORP, INC",WASHINGTON,MO, ,Y
148.3,12627,,,Bank of Washington,WASHINGTON,MO,Y,Y
149.1,,1136933,,"FREEDOM BANCORPORATION, INC.",LINDSTROM,MN, ,Y
149.1,1390,,,Lake Area Bank,LINDSTROM,MN,Y,Y
149.2,,1142989,,"WASECA BANCSHARES, INC.",WASECA,MN, ,Y
149.2,5271,,,Roundbank,WASECA,MN,Y,Y
150.1,,1206779,,CHEBELLE CORPORATION,BELLE PLAINE,IA, ,N
150.1,15427,,,Chelsea Savings Bank,BELLE PLAINE,IA,N,N
150.2,,1137903,,"SOLON FINANCIAL, INC.",SOLON,IA, ,N
150.2,232,,,Solon State Bank,SOLON,IA,N,N
152.1,,1206797,,"UPTOWN BANCORPORATION, INC.",BRITTON,SD, ,N
152.1,17358,,,First National Bank,DAVENPORT,IA,Y,N
152.2,,1127294,,"CAPITOL BANCORPORATION, INC.",BRITTON,SD, ,N
