County Name,State Name,State FIPS,County FIPS,Total Deposits ($),TARP CPP Deposits ($),TARP CPP Deposits (%),Total Branches ,TARP CPP Branches,TARP CPP Branches (%),Total HMDA Loan Originations (#),TARP HMDA Loan Originations (#),TARP HMDA Loan Originations (%)
Roosevelt County,Montana,30,85,129112000,0,0,5,0,0,23,8,0.377
Rosebud County,Montana,30,87,99336000,12329000,0.1241,4,1,0.25,54,17,0.3313
Sanders County,Montana,30,89,161598000,37414000,0.2315,5,1,0.2,142,58,0.4092
Sheridan County,Montana,30,91,160613000,87408000,0.5442,3,1,0.3333,29,14,0.4915
Silver Bow County,Montana,30,93,481259000,197318000,0.41,12,3,0.25,556,376,0.6764
Stillwater County,Montana,30,95,142594000,0,0,4,0,0,118,44,0.3758
Sweet Grass County,Montana,30,97,99054000,21685000,0.2189,3,1,0.3333,76,52,0.6847
Teton County,Montana,30,99,142169000,0,0,3,0,0,62,26,0.4306
Toole County,Montana,30,101,126702000,48696000,0.3843,4,3,0.75,38,21,0.5758
Treasure County,Montana,30,103,13528000,0,0,1,0,0,14,7,0.5385
Valley County,Montana,30,105,194799000,52712000,0.2706,5,1,0.2,62,42,0.6813
Wheatland County,Montana,30,107,0,0,0,0,0,0,12,4,0.4138
Wibaux County,Montana,30,109,12996000,0,0,1,0,0,6,2,0.4615
Yellowstone County,Montana,30,111,3017701000,1277577000,0.4234,43,15,0.3488,2176,806,0.3708
Adams County,Nebraska,31,1,693728000,176773000,0.2548,20,3,0.15,212,82,0.3911
Antelope County,Nebraska,31,3,146437000,0,0,8,0,0,37,19,0.5211
Arthur County,Nebraska,31,5,2477000,0,0,1,0,0,1,0,0.25
Banner County,Nebraska,31,7,28995000,28995000,1,1,1,1,2,2,1
Blaine County,Nebraska,31,9,15257000,0,0,1,0,0,0,0,0
Boone County,Nebraska,31,11,203000000,0,0,8,0,0,21,5,0.2692
Box Butte County,Nebraska,31,13,179322000,30855000,0.1721,6,1,0.1667,139,71,0.5167
Boyd County,Nebraska,31,15,68943000,0,0,5,0,0,0,0,0
Brown County,Nebraska,31,17,103835000,0,0,4,0,0,14,5,0.4118
Buffalo County,Nebraska,31,19,933099000,204019000,0.2186,26,5,0.1923,348,146,0.4218
Burt County,Nebraska,31,21,145780000,0,0,6,0,0,85,33,0.3953
Butler County,Nebraska,31,23,190321000,31294000,0.1644,9,2,0.2222,56,15,0.2745
Cass County,Nebraska,31,25,312352000,11164000,0.0357,18,1,0.0556,348,115,0.3305
Cedar County,Nebraska,31,27,215219000,0,0,13,0,0,34,9,0.2742
Chase County,Nebraska,31,29,148474000,70381000,0.474,4,2,0.5,42,26,0.6269
Cherry County,Nebraska,31,31,210138000,39066000,0.1859,6,3,0.5,25,6,0.2427
Cheyenne County,Nebraska,31,33,465163000,59947000,0.1289,11,2,0.1818,169,97,0.5768
Clay County,Nebraska,31,35,126163000,0,0,8,0,0,38,13,0.3519
Colfax County,Nebraska,31,37,226891000,0,0,7,0,0,34,7,0.2297
Cuming County,Nebraska,31,39,366896000,41018000,0.1118,9,1,0.1111,45,15,0.3462
Custer County,Nebraska,31,41,320878000,0,0,11,0,0,43,14,0.3468
