Date,Ticker,Name,Tier,Currency,Docclause,Tenor,Composite
19-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,19
22-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,24
23-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,23
24-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,23
25-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,24
26-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,25
29-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,25
30-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,27
31-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,27
01-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,34
02-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,36
05-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,44
06-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,44
07-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,52
08-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,54
09-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,54
12-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,54
13-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
14-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
15-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,42
16-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,50
19-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,55
20-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,63
21-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,66
22-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,66
23-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,63
26-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,62
27-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,58
28-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,44
29-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,43
30-Nov-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,40
03-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,40
04-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,41
05-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
06-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
