Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,9032,City of Phoenix Public Transit Department dba Valley Metro,Phoenix,AZ,"Phoenix-Mesa, AZ",13,799,"2,907,049",MB,PT,"3,240,521","2,104,965","5,742,733","6,618,485","7,286,039","7,190,495","6,798,355","8,172,426","12,463,298","13,823,804","16,159,128","17,201,442","150,452,078","156,559,088","170,528,162","188,866,285","184,039,971"
2007,9033,City of Tucson,Tucson,AZ,"Tucson, AZ",50,291,"720,425",DR,DO,"1,558,600","1,663,345","2,032,200","2,168,156","2,232,905","2,409,116","2,137,236","2,422,360","2,810,192","2,738,676","2,606,058","2,661,040","2,417,328","3,101,727","3,071,238","2,930,691","2,959,594"
2007,9033,City of Tucson,Tucson,AZ,"Tucson, AZ",50,291,"720,425",MB,DO,"61,173,799","49,449,373","57,661,310","59,418,482","57,459,378","61,591,308","59,956,176","56,760,603","61,245,951","65,471,221","65,471,139","55,164,310","60,024,371","59,638,589","58,636,108","62,739,762","66,236,758"
2007,9034,City of Glendale Transit,Glendale,AZ,"Phoenix-Mesa, AZ",13,799,"2,907,049",DR,DO,"542,000","408,660","416,295","406,775","368,190","391,578","411,732","411,848","476,218","469,751","452,445","413,759","441,547","465,113","483,949","489,803","462,726"
2007,9034,City of Glendale Transit,Glendale,AZ,"Phoenix-Mesa, AZ",13,799,"2,907,049",MB,DO,,,,,,,,,"69,158","166,749","216,582","295,619","425,633","522,060","564,328","555,823","560,046"
2007,9034,City of Glendale Transit,Glendale,AZ,"Phoenix-Mesa, AZ",13,799,"2,907,049",MB,PT,,,,,,,,0,0,0,"22,367","83,782",0,0,0,0,0
2007,9035,Gold Coast Transit,Oxnard,CA,"Oxnard, CA",91,76,"337,591",DR,PT,,,,,"64,003","116,098","125,554","130,713","138,077","362,082","448,993","624,145","519,748","627,104","598,985","528,236","547,572"
2007,9035,Gold Coast Transit,Oxnard,CA,"Oxnard, CA",91,76,"337,591",MB,DO,"10,401,952","10,955,179","12,475,191","11,678,906","11,252,292","11,770,561","12,444,405","13,235,868","15,555,434","16,818,782","15,733,155","13,506,313","18,378,946","19,640,864","17,808,900","6,518,462","8,524,478"
2007,9036,Orange County Transportation Authority,Orange,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",CR,PT,,"8,015,172","9,161,680","5,640,206",,,,,,,,,,,,,
2007,9036,Orange County Transportation Authority,Orange,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",DR,PT,"5,147,879","8,354,194","9,604,526","4,826,384","4,216,727","3,445,613","2,821,070","3,088,966","2,797,689","868,521",0,"7,315,935","8,327,869","9,905,584","11,835,257","12,031,322","13,191,180"
2007,9036,Orange County Transportation Authority,Orange,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",MB,DO,"205,528,371","184,276,515","178,425,436","151,217,910","158,619,369","180,119,718","197,048,906","165,902,415","157,829,649","196,260,752","232,076,289","222,565,239","251,392,028","263,497,750","277,244,688","271,679,705","255,683,843"
2007,9036,Orange County Transportation Authority,Orange,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",MB,PT,"5,731,683","5,509,510","5,278,463","5,504,913","3,230,237","1,993,202",0,0,0,0,0,"3,249,055","4,564,153","5,347,492","5,409,134","5,586,877","6,233,943"
2007,9036,Orange County Transportation Authority,Orange,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",VP,DO,"543,160","996,250","539,414",0,,,,,,,,,,,,,
2007,9039,Culver City Municipal Bus Lines,Culver City,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",MB,DO,"11,623,020","11,290,680","11,441,505","11,362,383","12,066,864","12,035,278","13,156,939","14,003,366","15,935,439","16,078,991","15,925,772","16,261,385","16,394,325","15,980,780","15,372,039","15,803,146","17,527,992"
2007,9041,Montebello Bus Lines,Montebello,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",DR,DO,"30,603","36,826","37,235","38,618","39,148","40,975","42,637","38,810","50,535","59,250","59,813","55,276","51,040","49,736","37,090","33,845","31,579"
2007,9041,Montebello Bus Lines,Montebello,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",DR,PT,,,,,,,,,,,,,,,,,"1,511"
2007,9041,Montebello Bus Lines,Montebello,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",MB,DO,"19,463,910","15,504,175","11,006,904","10,240,901","10,848,683","14,383,834","14,227,797","16,422,447","16,164,217","17,288,024","18,108,466","26,064,454","31,158,334","33,531,965","29,790,256","31,799,270","30,045,952"
2007,9041,Montebello Bus Lines,Montebello,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",MB,PT,,,,,,,,,0,"347,808","372,904","355,198","368,463","411,599","374,299","370,333","350,414"
2007,9042,City of Gardena Transportation Department,Gardena,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",DR,DO,"154,894","159,439",,,,,,,,,,,,,,,
2007,9042,City of Gardena Transportation Department,Gardena,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",DR,PT,,,"181,458","174,334","167,696","164,621","152,752","153,734","139,954","129,644","109,156","111,790","128,894","128,933","113,798","101,289","91,461"
2007,9042,City of Gardena Transportation Department,Gardena,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",MB,DO,"17,905,439","17,449,057","18,029,226","18,097,431","18,382,470","16,774,328","20,382,824","21,292,804","22,531,162","22,770,526","23,225,951","18,722,631","17,636,382","17,931,238","16,636,854","16,916,923","16,855,694"
2007,9043,City of Commerce Municipal Buslines,Commerce,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",DR,DO,"27,481","37,443","37,642","34,568","30,169","35,144","38,685","36,553","37,522","38,002","38,106","38,824","40,042","46,144","43,708","45,106","42,072"
2007,9043,City of Commerce Municipal Buslines,Commerce,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",MB,DO,"3,009,084","2,134,226","3,323,738","4,202,172","3,496,851","4,023,644","4,399,261","4,397,428","3,942,950","3,980,079","3,930,736","3,920,566","2,678,687","2,656,336","2,708,604","2,711,551","2,604,686"
2007,9044,City of Arcadia Transit,Arcadia,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",DR,PT,"427,272","461,510","470,638","459,360","462,852","475,206","458,762","530,314","525,567","546,361","492,264","536,273","561,316","508,066","572,169","426,756","319,461"
2007,9045,Regional Transportation Commission of Southern Nevada,Las Vegas,NV,"Las Vegas, NV",31,286,"1,314,357",DR,DO,,,,,,,,,,,"6,108,611",,,,,,
2007,9045,Regional Transportation Commission of Southern Nevada,Las Vegas,NV,"Las Vegas, NV",31,286,"1,314,357",DR,PT,,,,,,,,,,,,"7,237,280","7,659,217","8,082,725","8,735,072","9,147,447","9,670,927"
2007,9045,Regional Transportation Commission of Southern Nevada,Las Vegas,NV,"Las Vegas, NV",31,286,"1,314,357",MB,DO,"34,102,519","33,747,307","4,604,482",,,,,,,,"172,458,517",,,,,,
2007,9045,Regional Transportation Commission of Southern Nevada,Las Vegas,NV,"Las Vegas, NV",31,286,"1,314,357",MB,PT,,,,,,,,,,,,"165,229,646","150,545,616","180,514,011","186,390,340","218,014,720","220,204,101"
2007,9050,Simi Valley Transit,Simi Valley,CA,"Simi Valley, CA",238,27,"112,345",DR,DO,"80,835","87,465","68,523","72,675",,,,0,"184,166","223,962","250,698","260,615","191,178","178,520","181,023","240,161","240,211"
2007,9050,Simi Valley Transit,Simi Valley,CA,"Simi Valley, CA",238,27,"112,345",MB,DO,"1,710,399","1,961,176","1,808,764","1,967,937",,,,0,"2,005,692","1,912,042","1,898,510","1,925,472","2,013,244","2,235,446","2,619,836","2,457,104","2,562,435"
2007,9052,City of Corona,Corona,CA,"Riverside-San Bernardino, CA",25,439,"1,506,816",DR,PT,"320,205","338,111","400,570","422,656","389,434","422,084","462,280","463,196","429,425","373,737","330,698","309,051","290,002","318,886","355,569","314,954","308,428"
2007,9052,City of Corona,Corona,CA,"Riverside-San Bernardino, CA",25,439,"1,506,816",MB,PT,,,,,,,,,,,0,0,"334,452","463,122","569,039","578,484","594,048"
2006,9054,"San Diego Trolley, Inc.",San Diego,CA,"San Diego, CA",15,782,"2,674,436",LR,DO,"122,971,867","116,190,464","111,735,458","75,619,679","79,362,930","111,522,867","121,605,996","152,745,240","160,671,313","188,268,785","189,200,379","150,308,746","159,356,408","170,375,494","187,987,995","208,875,499",
1996,9055,Monterey County Rides,Salinas,CA,"Salinas, CA",188,35,"122,225",DR,PT,"408,030","424,353","489,703","564,410","602,198","663,088",,,,,,,,,,,
1994,9056,Economic Opportunity Board of Clark County,Las Vegas,NV,"Las Vegas, NV",45,231,"697,348",DR,DO,"1,096,326","7,555,427","2,357,228","2,659,118",,,,,,,,,,,,,
