Fiscal Year,Country,Auth. date,Obligor*,Principal supplier**,Guarantor***,Product,Interest rate,Loans,Guarantees,
2009,NIGERIA,4/23/2009,ASSOCIATED GAS&OIL LTD,FIREMAN'S FUND ALLIANZ GLOBAL CORP,PRIVATE EXPORT FUNDING CORP,ENGINEERING & OIL FIELD SERVICES,,,36348544.00,
2009,MOROCCO,4/23/2009,SPV/ROYAL AIR MAROC,"BOEING COMPANY, THE",SOCIETE GENERALE,AIR TRANSPORTATION,,,84623866.26,
2009,JAPAN,4/23/2009,SPV/JAPAN AIRLINES INTERNATIONAL CO LTD,GENERAL ELECTRIC COMPANY,CITIBANK N A,AIR TRANSPORTATION,,,152410360.78,
2009,UNITED ARAB EMIRATES,4/23/2009,SPV/DUBAI AEROSPACE ENTERPRISE LIMITED,GENERAL ELECTRIC COMPANY,CITIBANK N.A.,AIR TRANSPORTATION,0.0135,296780538.40, ,
2009,MEXICO,4/23/2009,PETROLEOS MEXICANOS,UNIVAR CORPORATION,,OIL & GAS FIELD DEVELOPMENT,0.0381,300000000.00, ,
2009,MEXICO,4/23/2009,PETROLEOS MEXICANOS,TYCO VALVES & CONTROLS LP,,OIL & GAS FIELD DEVELOPMENT,0.0381,600000000.00, ,
2009,MEXICO,4/30/2009,PETROLEOS MEXICANOS,MURRAY EDGEN CORPORATION,JPMORGAN CHASE BANK,OIL & GAS FIELD DEVELOPMENT,,,100000000.00,
2009,MEXICO,4/30/2009,PETROLEOS MEXICANOS,PRIDE INTERNATIONAL LTD,,OIL & GAS FIELD DEVELOPMENT,0.0381,150000000.00, ,
2009,MEXICO,4/30/2009,PETROLEOS MEXICANOS,VARIOUS - UNITED STATES SMALL SUPPLIERS,JPMORGAN CHASE BANK,SMALL BUSINESS FACILITY - OIL & GAS,,,200000000.00,
2009,PRIVATE EXPORT FUNDING CORP.,5/8/2009,PRIVATE EXPORT FUNDING CORP,,,INTEREST ON PEFCO'S OWN DEBT,,24131250.00, ,
2009,SAUDI ARABIA,5/15/2009,SAUDI ELECTRICITY COMPANY,VARIOUS - UNITED STATES SMALL SUPPLIERS,CALYON S.A.,GAS TURBINE POWER PROJECT,0.033,40967018.00, ,
2009,SAUDI ARABIA,5/15/2009,SAUDI ELECTRICITY COMPANY,VARIOUS - UNITED STATES SMALL SUPPLIERS,CALYON S.A.,(b)(4),0.033,42712627.00, ,
2009,SAUDI ARABIA,5/15/2009,SAUDI ELECTRICITY COMPANY,VARIOUS - UNITED STATES SMALL SUPPLIERS,CALYON S.A.,(b)(4),0.033,66210829.00, ,
2009,TRINIDAD AND TOBAGO,5/21/2009,NATIONAL HELICOPTER SERVICES LIMITED,KEYSTONE HELICOPTER CORP,PRIVATE EXPORT FUNDING CORP,AIR TRANSPORTATION - (b)(4),,,8714530.00,
2009,UNITED STATES,5/21/2009,TEXTRON FINANCIAL CORPORATION,BELL HELICOPTER TEXTRON INC,,AIR TRANSPORTATION,0.0381,500000000.00, ,
2009,NIGERIA,5/28/2009,ALPHA FLUIDS LIMITED,MECHANICAL EQUIPMENT CO INC,PRIVATE EXPORT FUNDING CORP,IV FLUID AND BOTTLE WATER PRODUCTION,,,15489435.00,
2009,RUSSIA,6/4/2009,SPV/UTAIR AVIATION JSC,CONTINENTAL AIRLINES INC,PRIVATE EXPORT FUNDING CORP,AIR TRANSPORTATION,,,43750000.00,
2009,UNITED STATES,6/4/2009,SPV/AVIATION CAPITAL GROUP CORP.,"BOEING COMPANY, THE",FINANCIAL INSTITUTION ACCEPTABLE TO EIB,AIR TRANSPORTATION,,,470804503.00,
2009,INDONESIA,6/11/2009,PT TRAVIRA AIR,VARIOUS - UNITED STATES SMALL SUPPLIERS,,AIR TRANSPORTATION HELICOPERS,0.0286,18877645.00, ,
2009,ISRAEL,6/11/2009,SPV/EL AL ISRAEL AIRLINES,VARIOUS - UNITED STATES SMALL SUPPLIERS,,AIR TRANSPORTATION,0.0401,37925112.46, ,
2009,INDIA,6/11/2009,SPV/NATIONAL AVIATION COMPANY OF INDIA,VARIOUS - UNITED STATES SMALL SUPPLIERS,JPMORGAN CHASE & CO,AIR TRANSPORTATION,,,106354890.00,
2009,INDIA,6/11/2009,SPV/AIR INDIA CHARTERS LTD,VARIOUS - UNITED STATES SMALL SUPPLIERS,JPMORGAN CHASE & CO,AIR TRANSPORTATION,,,115067098.00,
2009,"KOREA, SOUTH",6/26/2009,SPV/KOREAN AIR LINES,GENERAL ELECTRIC COMPANY,CALYON CORPORATE AND INVESTMENT BANKING,AIR TRANSPORTATION,,,285806975.00,
,,,,,,,,,,
TOTALS THROUGH 6/26/09,,,,,,,,2440058364.76,3472473183.67,
,,,,,,,,,,
,,,,,,,,,,
*The entity reponsible for repaying the debt.,,,,,,,,,,
"**The main supplier to the U.S. exporter. In some cases, the supplier may also be the exporter of record.",,,,,,,,,,
***The entity to which Ex-Im Bank has recourse for repayment if the obligor fails to pay.,,,,,,,,,,
,,,,,,,,,,
SOURCES: FY 2007 and 2008 Ex-Im Financial Reports; Freedom of Information Act request,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,, ,,,,,,,,
