12/19/2008,BancTrust Financial Group&#44; Inc. ,Mobile ,AL ,50000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Enterprise Financial Services Corp. ,St. Louis ,MO ,35000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Mid Penn Bancorp&#44; Inc. ,Millersburg ,PA ,10000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Summit State Bank ,Santa Rosa ,CA ,8500000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,VIST Financial Corp. ,Wyomissing ,PA ,25000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Wainwright Bank & Trust Company ,Boston ,MA ,22000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Whitney Holding Corporation ,New Orleans ,LA ,300000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,The Connecticut Bank and Trust Company ,Hartford ,CT ,5448000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,CoBiz Financial Inc. ,Denver ,CO ,64450000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Santa Lucia Bancorp ,Atascadero ,CA ,4000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Seacoast Banking Corporation of Florida ,Stuart ,FL ,50000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Horizon Bancorp ,Michigan City ,IN ,25000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Fidelity Southern Corporation ,Atlanta ,GA ,48200000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Community Financial Corporation ,Staunton ,VA ,12643000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Berkshire Hills Bancorp&#44; Inc. ,Pittsfield ,MA ,40000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,First California Financial Group&#44; Inc ,Westlake Village ,CA ,25000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,AmeriServ Financial&#44; Inc ,Johnstown ,PA ,21000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Security Federal Corporation ,Aiken ,SC ,18000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Wintrust Financial Corporation ,Lake Forest ,IL ,250000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Flushing Financial Corporation ,Lake Success ,NY ,70000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Monarch Financial Holdings&#44; Inc. ,Chesapeake ,VA ,14700000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,StellarOne Corporation ,Charlottesville ,VA ,30000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Union Bankshares Corporation ,Bowling Green ,VA ,59000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Tidelands Bancshares&#44; Inc ,Mt. Pleasant ,SC ,14448000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Bancorp Rhode Island&#44; Inc. ,Providence ,RI ,30000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Hawthorn Bancshares&#44; Inc. ,Lee's Summit ,MO ,30255000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,The Elmira Savings Bank&#44; FSB ,Elmira ,NY ,9090000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Alliance Financial Corporation ,Syracuse ,NY ,26918000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Heartland Financial USA&#44; Inc. ,Dubuque ,IA ,81698000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Citizens First Corporation ,Bowling Green ,KY ,8779000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,FFW Corporation ,Wabash ,IN ,7289000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,Plains Capital Corporation ,Dallas ,TX ,87631000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,Tri-County Financial Corporation ,Waldorf ,MD ,15540000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,OneUnited Bank ,Boston ,MA ,12063000,Preferred Stock ,Purchase,Par 
12/19/2008,Patriot Bancshares&#44; Inc. ,Houston ,TX ,26038000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,Pacific City Finacial Corporation ,Los Angeles ,CA ,16200000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,Marquette National Corporation ,Chicago ,IL ,35500000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,Exchange Bank ,Santa Rosa ,CA ,43000000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,Monadnock Bancorp&#44; Inc. ,Peterborough ,NH ,1834000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,Bridgeview Bancorp&#44; Inc. ,Bridgeview ,IL ,38000000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,Fidelity Financial Corporation ,Wichita ,KS ,36282000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,Patapsco Bancorp&#44; Inc. ,Dundalk ,MD ,6000000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,NCAL Bancorp ,Los Angeles ,CA ,10000000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/19/2008,FCB Bancorp&#44; Inc. ,Louisville ,KY ,9294000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,First Financial Bancorp ,Cincinnati ,OH ,80000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Bridge Capital Holdings ,San Jose ,CA ,23864000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,International Bancshares Corporation ,Laredo ,TX ,216000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,First Sound Bank ,Seattle ,WA ,7400000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,M&T Bank Corporation ,Buffalo ,NY ,600000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Emclaire Financial Corp. ,Emlenton ,PA ,7500000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Park National Corporation ,Newark ,OH ,100000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Green Bankshares&#44; Inc. ,Greeneville ,TN ,72278000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Cecil Bancorp&#44; Inc. ,Elkton ,MD ,11560000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Financial Institutions&#44; Inc. ,Warsaw ,NY ,37515000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Fulton Financial Corporation ,Lancaster ,PA ,376500000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,United Bancorporation of Alabama&#44; Inc. ,Atmore ,AL ,10300000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,MutualFirst Financial&#44; Inc. ,Muncie ,IN ,32382000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,BCSB Bancorp&#44; Inc. ,Baltimore ,MD ,10800000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,HMN Financial&#44; Inc. ,Rochester ,MN ,26000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,First Community Bank Corporation of America ,Pinellas Park ,FL ,10685000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Sterling Bancorp ,New York ,NY ,42000000,Preferred Stock w/ Warrants ,Purchase,Par 
