Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",DR,PT,"11,892",,,,,,,,,,,,,,,,
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",MB,DO,"125,962","138,612","170,140","230,532","195,241","192,249","215,798","201,927","199,518","126,744","121,346","115,450","128,339","136,698","151,652","171,786","174,404"
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",MB,PT,510,,,,,,,,,,,,,,,,
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",VP,DO,0,0,"21,803","9,437","9,081","12,096","14,673","16,634","21,301","24,960","30,680","31,736","31,175","36,153","44,372","60,848","66,801"
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",DR,DO,,0,,,"42,492","60,427","65,644","64,744","71,500","55,469","67,849","83,183","112,996","124,098","123,215","122,166","122,574"
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",DR,PT,"53,052","66,684","55,962","56,036","16,177","7,476",,,,,,,,,,,
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",FB,PT,,153,"4,563","10,738","10,812","7,210","7,190","7,843","7,862","4,882","4,855","5,056","5,723","5,746","6,556","6,534","6,547"
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",MB,DO,"93,148","102,292","110,806","128,691","146,901","144,453","145,172","143,289","151,390","114,164","116,385","134,501","146,371","155,322","144,349","135,061","136,086"
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",OR,PT,0,,,,,,,,,,,,,,,,
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",VP,DO,"12,640","15,743","17,083","24,385","26,726","43,117","29,048","33,341","30,399","12,358","13,049","20,991","33,148","38,868","45,990","47,444","45,010"
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",DR,DO,,,,"40,837","43,441","49,105","55,568","57,740","58,540","52,353","52,314","51,231","46,864","53,561","49,713","51,185","52,818"
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",DR,PT,"22,600","31,410","34,327",833,"1,525","1,534","1,379","1,499","1,153",672,497,510,638,629,604,587,638
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",MB,DO,"65,800","66,036","68,307","74,692","82,010","83,631","88,701","89,224","89,995","86,818","85,233","86,337","89,418","91,779","98,148","122,560","127,429"
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",VP,PT,,,,,0,,,,,,,,,,,,
2007,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",DR,DO,"2,786","3,342","3,656","5,396","5,166","5,744","7,039","8,637","8,862","10,136","13,424","14,684","17,688","16,606","14,582","14,993","26,795"
2007,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",MB,DO,"12,476","15,867","18,130","18,318","18,582","18,624","19,062","19,614","20,074","21,806","21,512","20,904","20,118","19,992","20,703","21,553","22,845"
