Date,Name,Price Paid,Pricing Mechanism,Description,Transaction Type,FDIC Number,OTS Number,Type of Institution,Total Assets (Q4 2008),Regulator,City,State,Stock Symbol,Program,Warrant Strike Price,Warrant Received,Stock Price (as of close 2009-04-08),In/Out of Money (as of close 2009-04-08),Subsidy Rate Estimate (percentage),Subsidy Rate Estimate Date,Subsidy Rate Estimate Source
2009-01-16,Community 1st Bank,2550000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,58191,,bank,96656000.00,FDIC,Roseville,CA,CFBN,CPP,,,,,,,
2009-01-16,Community Bank of the Bay,1747000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,34210,,bank,68610000.00,FDIC,Oakland,CA,CBYAA,CPP,,,,,,,
2009-01-16,Dickinson Financial Corporation II,146053000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,2107707,,holding company,6090090000.00,Federal Reserve,Kansas City,MO,,CPP,,,,,,,
2009-01-16,"ECB Bancorp, Inc.",17949000.00,,,Purchase,2686659,,holding company,842174000.00,Federal Reserve,Engelhard,NC,ECBE,CPP,18.57,144984,17.00,-1.57,,,
2009-01-16,First BanCorp,400000000.00,Par,Preferred Stock w/Warrants,Purchase,2744894,,holding company,19477107000.00,Federal Reserve,San Juan,PR,FBP,CPP,10.27,5842259,4.73,-5.54,,,
2009-01-16,"First Bankers Trustshares, Inc.",10000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1404632,,holding company,490904000.00,Federal Reserve,Quincy,IL,FBTT,CPP,,,,,,,
2009-01-16,First Manitowoc Bancorp Inc.,12000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1208009,,holding company,793228000.00,Federal Reserve,Manitowoc,WI,,CPP,,,,,,,
2009-01-16,"Home Bancshares, Inc.",50000000.00,Par,Preferred Stock w/Warrants,Purchase,1491409,,holding company,2621398000.00,Federal Reserve,Conway,AR,HOMB,CPP,26.03,288129,20.42,-5.61,,,
2009-01-16,Idaho Bancorp,6900000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3301883,,holding company,248820000.00,Federal Reserve,Boise,ID,IDBC,CPP,,,,,,,
2009-01-16,"MainSource Financial Group, Inc.",57000000.00,Par,Preferred Stock w/Warrants,Purchase,1209109,,holding company,2895909000.00,Federal Reserve,Greensburg,IN,MSFG,CPP,14.95,571906,8.11,-6.84,,,
2009-01-16,"MetroCorp Bancshares, Inc.",45000000.00,Par,Preferred Stock w/Warrants,Purchase,2344799,,holding company,1586283000.00,Federal Reserve,Houston,TX,MCBI,CPP,8.75,771429,2.56,-6.19,,,
2009-01-16,Morrill Bancshares Inc.,13000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1058165,,holding company,696087000.00,Federal Reserve,Merriam,KS,,CPP,,,,,,,
2009-01-16,"New Hampshire Thrift Bancshares, Inc.",10000000.00,Par,Preferred Stock w/Warrants,Purchase,,H1476,thrift holding company,839436000.00,,Newport,NH,NHTB,CPP,8.14,184275,7.32,-0.82,,,
2009-01-16,OceanFirst Financial Corp.,38263000.00,Par,Preferred Stock w/Warrants,Purchase,,H2630,thrift holding company,1858907000.00,,Toms River,NJ,OCFC,CPP,15.07,380853,11.12,-3.95,,,
2009-01-16,"Old Second Bancorp, Inc.",73000000.00,Par,Preferred Stock w/Warrants,Purchase,1206911,,holding company,2989393000.00,Federal Reserve,Aurora,IL,OSBC,CPP,13.43,815339,6.94,-6.49,,,
2009-01-16,Pacific Coast National Bancorp,4120000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3338795,,holding company,147676000.00,Federal Reserve,San Clemente,CA,PCST,CPP,,,,,,,
2009-01-16,Puget Sound Bank,4500000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,57955,,bank,153981000.00,FDIC,Bellevue,WA,,CPP,,,,,,,
2009-01-16,Pulaski Financial Corp,32538000.00,Par,Preferred Stock w/Warrants,Purchase,,H3185,thrift holding company,1361481000.00,,Creve Coeur,MO,PULB,CPP,6.27,778421,5.11,-1.16,,,
2009-01-16,Redwood Capital Bancorp,3800000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3552032,,holding company,161663000.00,Federal Reserve,Eureka,CA,RWCB,CPP,,,,,,,
2009-01-16,S&T Bancorp,108676000.00,Par,Preferred Stock w/Warrants,Purchase,1071397,,holding company,4410695000.00,Federal Reserve,Indiana,PA,STBA,CPP,31.53,517012,22.86,-8.67,,,
2009-01-16,SCBT Financial Corporation,64779000.00,Par,Preferred Stock w/Warrants,Purchase,1133437,,holding company,2763151000.00,Federal Reserve,Columbia,SC,SCBT,CPP,32.06,303083,21.08,-10.98,,,
2009-01-16,Somerset Hills Bancorp,7414000.00,Par,Preferred Stock w/Warrants,Purchase,2950480,,holding company,299389000.00,Federal Reserve,Bernardsville,NJ,SOMH,CPP,6.82,163065,6.83,0.01,,,
2009-01-16,Southern Bancorp Inc.,11000000.00,Par,Preferred Stock,Purchase,1248939,,holding company,575275000.00,Federal Reserve,Arkadelphia,AR,,CPP,,,,,,,
2009-01-16,State Bankshares Inc.,50000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1417333,,holding company,1926633000.00,Federal Reserve,Fargo,ND,,CPP,,,,,,,
