Date,Reserve Bank credit,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Term Facility,Term Asset-Backed Securities Loan Facility,Term Asset-Backed Securities Loan Facility,Other federal reserve assets,Central bank liquidity swaps,U.S. Treasury securities
2005-08-25,791441000000,25107000000,16000000,0,317000000,,,,,,,,,,,,,,,37970000000,,728553000000
2005-08-18,793703000000,26857000000,155000000,0,290000000,,,,,,,,,,,,,,,40032000000,,726345000000
2005-08-11,791658000000,25964000000,2000000,0,267000000,,,,,,,,,,,,,,,41077000000,,724702000000
2005-08-04,799110000000,33750000000,448000000,0,262000000,,,,,,,,,,,,,,,40691000000,,724700000000
2005-07-28,793287000000,28643000000,11000000,67000000,266000000,,,,,,,,,,,,,,,40403000000,,724704000000
2005-07-21,796276000000,31643000000,128000000,0,239000000,,,,,,,,,,,,,,,40095000000,,724709000000
2005-07-14,792010000000,26893000000,51000000,0,224000000,,,,,,,,,,,,,,,40105000000,,724714000000
2005-07-07,795797000000,30071000000,539000000,0,206000000,,,,,,,,,,,,,,,39748000000,,724719000000
2005-06-30,788567000000,23107000000,19000000,0,196000000,,,,,,,,,,,,,,,40025000000,,726009000000
2005-06-23,787859000000,22286000000,22000000,0,158000000,,,,,,,,,,,,,,,39710000000,,725909000000
2005-06-16,787960000000,23714000000,14000000,0,148000000,,,,,,,,,,,,,,,39323000000,,725482000000
2005-06-09,790003000000,25500000000,2000000,0,150000000,,,,,,,,,,,,,,,39201000000,,725448000000
2005-06-02,792472000000,29714000000,11000000,0,145000000,,,,,,,,,,,,,,,39035000000,,724565000000
2005-05-26,786594000000,26357000000,8000000,0,142000000,,,,,,,,,,,,,,,38685000000,,722188000000
2005-05-19,787559000000,26571000000,2000000,0,139000000,,,,,,,,,,,,,,,40493000000,,721611000000
2005-05-12,783258000000,21036000000,8000000,0,126000000,,,,,,,,,,,,,,,42134000000,,720597000000
2005-05-05,786449000000,26143000000,5000000,0,107000000,,,,,,,,,,,,,,,41957000000,,719356000000
2005-04-28,786712000000,27321000000,7000000,0,96000000,,,,,,,,,,,,,,,41662000000,,717941000000
2005-04-21,785627000000,27464000000,5000000,0,80000000,,,,,,,,,,,,,,,41150000000,,717398000000
2005-04-14,781422000000,22893000000,211000000,0,68000000,,,,,,,,,,,,,,,40997000000,,717369000000
2005-04-07,783431000000,25143000000,12000000,0,57000000,,,,,,,,,,,,,,,40624000000,,717341000000
2005-03-31,782330000000,24643000000,13000000,0,46000000,,,,,,,,,,,,,,,40614000000,,717532000000
2005-03-24,783495000000,25964000000,5000000,0,38000000,,,,,,,,,,,,,,,40687000000,,717522000000
