date,Reserve Bank credit,U.S. Treasury securities,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Other federal reserve assets,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Central bank liquidity swaps,Term Facility
2003-3-13,696359,638576,19214,36,0,9,,38020,,,,,,,,,,,,,
2003-3-6,702078,636863,27136,24,0,6,,37573,,,,,,,,,,,,,
2003-2-27,697030,634922,23321,10,0,4,,37456,,,,,,,,,,,,,
2003-2-20,701756,630999,30067,14,0,5,,39838,,,,,,,,,,,,,
2003-2-13,691408,629941,19285,28,0,3,,40434,,,,,,,,,,,,,
2003-2-6,694493,629405,24393,11,0,4,,40074,,,,,,,,,,,,,
2003-1-30,690594,629406,20143,45,0,7,,40220,,,,,,,,,,,,,
2003-1-23,697026,629406,27036,12,0,7,,39728,,,,,,,,,,,,,
2003-1-16,693039,629406,24428,6,0,11,,39428,,,,,,,,,,,,,
2003-1-9,697473,629406,28393,,,17,,38899,,,,,,,,,,,,,
2003-1-2,706754,629405,38107,,,40,,39073,,,,,,,,,,,,,
2002-12-26,703676,629400,34321,,,46,,38708,,,,,,,,,,,,,
2002-12-19,692654,626469,28179,,,49,,38003,,,,,,,,,,,,,
2002-12-12,670752,,22000,,,46,,,,,,,,,,,,,,,
2002-12-5,672629,,25857,,,54,,,,,,,,,,,,,,,
2002-11-29,669038,,23036,,,54,,,,,,,,,,,,,,,
2002-11-21,666088,,20929,,,60,,,,,,,,,,,,,,,
2002-11-14,666333,,16821,,,66,,,,,,,,,,,,,,,
2002-11-7,660583,,12036,,,67,,,,,,,,,,,,,,,
2002-10-31,662420,,14071,,,98,,,,,,,,,,,,,,,
2002-10-24,657667,,8143,,,116,,,,,,,,,,,,,,,
2002-10-17,661675,,12536,,,124,,,,,,,,,,,,,,,
2002-10-10,655648,,7429,,,136,,,,,,,,,,,,,,,
2002-10-3,661670,,17607,,,171,,,,,,,,,,,,,,,
2002-9-26,655957,,12214,,,168,,,,,,,,,,,,,,,
2002-9-19,657922,,15500,,,162,,,,,,,,,,,,,,,
2002-9-12,658198,,16857,,,164,,,,,,,,,,,,,,,
2002-9-5,665138,,23821,,,177,,,,,,,,,,,,,,,
2002-8-29,655650,,13464,,,198,,,,,,,,,,,,,,,
2002-8-22,658647,,19500,,,191,,,,,,,,,,,,,,,
2002-8-15,653477,,13321,,,181,,,,,,,,,,,,,,,
2002-8-8,657571,,17393,,,179,,,,,,,,,,,,,,,
2002-8-1,655498,,15429,,,180,,,,,,,,,,,,,,,
2002-7-25,658663,,21107,,,183,,,,,,,,,,,,,,,
2002-7-18,656753,,24571,,,177,,,,,,,,,,,,,,,
2002-7-11,658153,,25857,,,167,,,,,,,,,,,,,,,
2002-7-5,659792,,30000,,,168,,,,,,,,,,,,,,,
2002-6-27,656063,,25821,,,162,,,,,,,,,,,,,,,
2002-6-20,650788,,22036,,,131,,,,,,,,,,,,,,,
2002-6-13,650293,,23936,,,106,,,,,,,,,,,,,,,
2002-6-6,651310,,26929,,,120,,,,,,,,,,,,,,,
2002-5-30,655848,,31204,,,129,,,,,,,,,,,,,,,
2002-5-23,643814,,22893,,,105,,,,,,,,,,,,,,,
2002-5-16,645879,,22787,,,95,,,,,,,,,,,,,,,
2002-5-9,641535,,19929,,,94,,,,,,,,,,,,,,,
2002-5-2,647401,,27429,,,67,,,,,,,,,,,,,,,
2002-4-25,640408,,21964,,,56,,,,,,,,,,,,,,,
2002-4-18,644013,,28200,,,48,,,,,,,,,,,,,,,
2002-4-11,638804,,24393,,,42,,,,,,,,,,,,,,,
2002-4-4,642146,,28786,,,26,,,,,,,,,,,,,,,
2002-3-28,635208,,22214,,,20,,,,,,,,,,,,,,,
2002-3-21,637254,,26614,,,20,,,,,,,,,,,,,,,
2002-3-14,634224,,25043,,,20,,,,,,,,,,,,,,,
2002-3-7,636234,,32392,,,14,,,,,,,,,,,,,,,
2002-2-28,631999,,28856,,,12,,,,,,,,,,,,,,,
2002-2-21,636464,,34750,,,16,,,,,,,,,,,,,,,
2002-2-14,627844,,26464,,,24,,,,,,,,,,,,,,,
2002-2-7,629719,,28607,,,16,,,,,,,,,,,,,,,
2002-1-31,627628,,28464,,,19,,,,,,,,,,,,,,,
2002-1-24,631916,,35929,,,17,,,,,,,,,,,,,,,
2002-1-17,629104,,32971,,,10,,,,,,,,,,,,,,,
2002-1-10,631596,,36929,,,12,,,,,,,,,,,,,,,
2002-1-3,642801,,50714,,,31,,,,,,,,,,,,,,,
2001-12-27,633771,,41743,,,36,,,,,,,,,,,,,,,
2001-12-20,627352,,36593,,,35,,,,,,,,,,,,,,,
2001-12-13,619750,,31500,,,34,,,,,,,,,,,,,,,
2001-12-6,622763,,34571,,,34,,,,,,,,,,,,,,,
