Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,6091,Hill Country Transit District,San Saba,TX,"Killeen, TX",177,64,"167,976",MB,DO,,,,,,,,,,,"507,195","667,178","725,128","690,413","640,247","405,425","391,846","397,740"
2006,6092,ATC / Vancom,Dallas,TX,"Dallas-Fort Worth-Arlington, TX",6,"1,407","4,145,659",DR,DO,,,,,,,,,,,"5,793,630",,"7,092,213","6,875,910","7,019,471","7,308,127",,
2006,6092,ATC / Vancom,Dallas,TX,"Dallas-Fort Worth-Arlington, TX",6,"1,407","4,145,659",DR,PT,,,,,,,,,,,,"6,367,103",,,,,,
2008,6094,The Lawton Area Transit System,Lawton,OK,"Lawton, OK",287,55,"89,556",DR,DO,,,,,,,,,,,,,,"32,370","39,801","44,104","53,822","66,863"
2008,6094,The Lawton Area Transit System,Lawton,OK,"Lawton, OK",287,55,"89,556",MB,DO,,,,,,,,,,,,,,"563,170","546,465","545,710","542,283","578,246"
2008,6095,Golden Crescent Regional Planning Commission,Victoria,TX,"Victoria, TX",375,51,"61,529",DR,DO,,,,,,,,,,,,,,"110,942","115,159","120,475","105,415","170,328"
2008,6095,Golden Crescent Regional Planning Commission,Victoria,TX,"Victoria, TX",375,51,"61,529",MB,DO,,,,,,,,,,,,,,"252,246","253,492","247,386","255,550","359,433"
2008,6096,Cleveland Area Rapid Transit, Norman,OK,"Norman, OK",296,30,"86,478",DR,DO,,,,,,,,,,,,,,,"115,621","131,944","159,207","151,605"
2008,6096,Cleveland Area Rapid Transit, Norman,OK,"Norman, OK",296,30,"86,478",MB,DO,,,,,,,,,,,,,,,"323,846","363,293","370,375","368,865"
2008,6097,Midland-Odessa Urban Transit District,Odessa,TX,"Odessa, TX",240,53,"111,395",DR,DO,,,,,,,,,,,,,,"27,496","56,108","60,656","93,198","112,690"
2008,6097,Midland-Odessa Urban Transit District,Odessa,TX,"Odessa, TX",240,53,"111,395",MB,DO,,,,,,,,,,,,,,"579,956","623,966","626,104","759,647","737,349"
2008,6099,City of McAllen - McAllen Express Transit,McAllen,TX,"McAllen, TX",70,314,"523,144",DR,DO,,,,,,,,,,,,,,,,0,,
2008,6099,City of McAllen - McAllen Express Transit,McAllen,TX,"McAllen, TX",70,314,"523,144",MB,DO,,,,,,,,,,,,,,,,0,,
2008,6101,Denton County Transportation Authority,Lewisville,TX,"Denton-Lewisville, TX",105,122,"299,823",DR,DO,,,,,,,,,,,,,,,,,"250,796","343,414"
2008,6101,Denton County Transportation Authority,Lewisville,TX,"Denton-Lewisville, TX",105,122,"299,823",DR,PT,,,,,,,,,,,,,,,,"296,300",,
2008,6101,Denton County Transportation Authority,Lewisville,TX,"Denton-Lewisville, TX",105,122,"299,823",MB,DO,,,,,,,,,,,,,,,,,"1,196,500","1,324,913"
